;;;Gene;;;Inter-;Cumulative;;Number;Sum Intron;Protein;;Closest Organism (excl. Ophios&Sporothrix);Closest Organism (excl. O.novo-ulmi only);KEGG;;Blast2GO;;;;;MEROPS;;Alter.;;
OphioH327gp3288;II;-;5.445.197;5.446.811;1.615;1.003;12.383.129;12.384.743;2;160;484;Palmitoyltransferase PFA5 (Protein fatty acyltransferase 5);Grosmannia clavigera;Ophiostoma piceae;;;palmitoyltransferase pfa5;3;"F:metal ion binding; F:zinc ion binding; F:transferase activity";;;;N;;;roughly area acquired from O. ulmi
OphioH327gp3289;II;+;5.450.781;5.451.741;961;3.969;12.388.713;12.389.673;2;166;264;Phosphoglycerate mutase family protein;Grosmannia clavigera;Ophiostoma piceae;K15634;"gpmB; probable phosphoglycerate mutase [EC:5.4.2.1]";phosphoglycerate mutase;2;"C:nucleus; C:cytoplasm";-;;;N;;;roughly area acquired from O. ulmi
OphioH327gp3291;II;+;5.470.390;5.472.272;1.883;18.648;12.408.322;12.410.204;2;131;583;Uncharacterized transcriptional regulatory protein C2H10.01;Grosmannia clavigera;Ophiostoma piceae;;;c6 transcription;4;"F:sequence-specific DNA binding RNA polymerase II transcription factor activity; P:regulation of transcription from RNA polymerase II promoter; C:nucleus; F:zinc ion binding";-;;;N;;;roughly area acquired from O. ulmi
OphioH327gp3292;II;-;5.479.243;5.480.370;1.128;6.970;12.417.175;12.418.302;2;156;323;5-nitrosalicylic acid 1,2-dioxygenase;Fusarium oxysporum;Fusarium oxysporum;;;gentisate -dioxygenase;1;F:oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen;;;;N;;;roughly area acquired from O. ulmi
OphioH327gp3293;II;+;5.480.853;5.481.825;973;482;12.418.785;12.419.757;1;55;305;Fumarylacetoacetate hydrolase domain-containing protein 2;Colletotrichum gloeosporioides;Colletotrichum gloeosporioides;;;fumarylacetoacetate hydrolase;1;F:catalytic activity;-;;;N;;;roughly area acquired from O. ulmi
OphioH327gp3294;II;-;5.481.955;5.484.389;2.435;129;12.419.887;12.422.321;2;125;769;Fungal specific transcription factor domain-containing protein;Verticillium dahliae;Verticillium dahliae;;;fungal specific transcription factor domain-containing protein;1;P:primary metabolic process;-;;;N;;;roughly area acquired from O. ulmi
OphioH327gp3295;II;-;5.484.852;5.485.260;409;462;12.422.784;12.423.192;1;79;109;Putative uncharacterized protein;Stachybotrys chartarum;Stachybotrys chartarum;;;hypothetical protein NECHADRAFT_52658;6;"P:transcription, DNA-dependent; F:carbon-sulfur lyase activity; P:metabolic process; F:zinc ion binding; C:nucleus; F:DNA binding";;;;N;;;roughly area acquired from O. ulmi
OphioH327gp3296;II;+;5.485.510;5.488.229;2.720;249;12.423.442;12.426.161;1;86;877;Beta-glucosidase B (Cellobiase B/Gentiobiase B);Colletotrichum fioriniae;Ophiostoma piceae;;;thermostable beta-glucosidase b;2;"F:hydrolase activity; P:metabolic process";-;GH3 ;;N;;;roughly area acquired from O. ulmi
OphioH327gp3297;II;+;5.489.287;5.490.915;1.629;1.057;12.427.219;12.428.847;1;54;524;Lactose permease;Colletotrichum gloeosporioides;Colletotrichum gloeosporioides;;;lactose permease;3;"C:membrane; P:transport; F:transmembrane transporter activity";-;;;N;;;roughly area acquired from O. ulmi
OphioH327gp3298;II;-;5.495.307;5.496.920;1.614;4.391;12.433.239;12.434.852;4;312;433;Transcription factor;Grosmannia clavigera;Ophiostoma piceae;;;transcription factor;5;"P:DNA repair; F:DNA-directed DNA polymerase activity; F:damaged DNA binding; F:zinc ion binding; C:intracellular";;;;N;;;roughly area acquired from O. ulmi
OphioH327gp3299;II;-;5.500.275;5.503.304;3.030;3.354;12.438.207;12.441.236;0;0;1.009;N-acetyltransferase eso1 (Sister chromatid cohesion protein eso1);Grosmannia clavigera;Ophiostoma piceae;K03509;"POLH; DNA polymerase eta [EC:2.7.7.7]";sister chromatid cohesion protein eso1;7;"P:DNA repair; F:DNA-directed DNA polymerase activity; F:damaged DNA binding; F:zinc ion binding; C:intracellular; F:molecular_function; C:cellular_component";;;;N;;;roughly area acquired from O. ulmi
OphioH327gp3300;II;-;5.504.397;5.507.580;3.184;1.092;12.442.329;12.445.512;1;466;905;Serine/threonine-protein kinase HAL4/SAT4 (Halotolerance protein 4);Grosmannia clavigera;Ophiostoma piceae;K08286;"E2.7.11.-; protein-serine/threonine kinase [EC:2.7.11.-]";serine threonine-protein kinase;8;"F:kinase activity; F:ATP binding; F:protein kinase activity; P:phosphorylation; F:nucleotide binding; P:protein phosphorylation; F:transferase activity, transferring phosphorus-containing groups; F:protein serine/threonine kinase activity";;;;N;;;roughly area acquired from O. ulmi
OphioH327gp3301;II;+;5.515.993;5.516.400;408;8.412;12.453.925;12.454.332;0;0;135;Putative uncharacterized protein; ;;;;---NA---;0;-;;;;N;;;roughly area acquired from O. ulmi
OphioH327gp3302;II;-;5.517.369;5.518.871;1.503;968;12.455.301;12.456.803;2;120;460;IMP-specific 5'-nucleotidase 1;Neurospora crassa;Ophiostoma piceae;;;imp-specific 5 -nucleotidase;2;"P:cellular metabolic process; F:hydrolase activity";-;;;N;;;roughly area acquired from O. ulmi
OphioH327gp3303;II;-;5.519.745;5.521.366;1.622;873;12.457.677;12.459.298;1;68;517;UBX domain-containing protein 10;Grosmannia clavigera;Ophiostoma piceae;;;ubx domain-containing protein 8;1;F:molecular_function;;;;N;;;roughly area acquired from O. ulmi
OphioH327gp3304;II;+;5.523.833;5.526.464;2.632;2.466;12.461.765;12.464.396;4;397;744;PAB-dependent poly(A)-specific ribonuclease subunit pan3 (PAB1P-dependent poly(A)-nuclease);Grosmannia clavigera;Ophiostoma piceae;K12572;"PAN3; PAB-dependent poly(A)-specific ribonuclease subunit 3";pab-dependent poly -specific ribonuclease subunit pan3;2;"F:binding; F:transferase activity, transferring phosphorus-containing groups";-;;;N;;;roughly area acquired from O. ulmi
OphioH327gp3305;II;-;5.527.319;5.528.046;728;854;12.465.251;12.465.978;1;56;223;U6 snRNA-associated Sm-like protein LSm7;Grosmannia clavigera;Ophiostoma piceae;K12626;"LSM7; U6 snRNA-associated Sm-like protein LSm7";small nuclear ribonucleoprotein;2;"F:nucleic acid binding; C:ribonucleoprotein complex";-;;;N;;;roughly area acquired from O. ulmi
OphioH327gp3306;II;+;5.531.251;5.535.759;4.509;3.204;12.469.183;12.473.691;3;792;1.238;Histone-lysine N-methyltransferase;Grosmannia clavigera;Ophiostoma piceae;K06101;"ASH1L; histone-lysine N-methyltransferase ASH1L [EC:2.1.1.43]";set domain-containing protein;2;"P:methylation; F:methyltransferase activity";EC:2.1.1.0;;;N;;;roughly area acquired from O. ulmi
OphioH327gp3307;II;+;5.537.932;5.540.167;2.236;2.172;12.475.864;12.478.099;1;91;714;Putative uncharacterized protein; ;Ophiostoma piceae;;;---NA---;0;-;;;;N;;;roughly area acquired from O. ulmi
OphioH327gp3308;II;-;5.540.695;5.541.687;993;527;12.478.627;12.479.619;0;0;330;Pre-mRNA-splicing factor sap114 (Spliceosome-associated protein 145);Grosmannia clavigera;Ophiostoma piceae;K12825;"SF3A1, SAP114; splicing factor 3A subunit 1";pre-mrna-splicing factor sap114;2;"F:RNA binding; P:RNA processing";-;;;N;;;roughly area acquired from O. ulmi
OphioH327gp3309;II;+;5.543.308;5.543.825;518;1.620;12.481.240;12.481.757;1;89;142;Sorting nexin-3;Grosmannia clavigera;Grosmannia clavigera;;;sorting nexin-3;8;"C:Golgi membrane; F:phosphatidylinositol binding; P:mycelium development; F:RNA binding; C:late endosome membrane; P:cell communication; P:RNA processing; P:protein transport";-;;;N;;;roughly area acquired from O. ulmi
OphioH327gp3310;II;+;5.545.315;5.548.488;3.174;1.489;12.483.247;12.486.420;0;0;1.057;PH domain containing protein;Grosmannia clavigera;Ophiostoma piceae;;;ph domain-containing protein;2;"C:membrane; F:phospholipid binding";;;;N;;;roughly area acquired from O. ulmi
OphioH327gp3311;II;-;5.548.682;5.550.262;1.581;193;12.486.614;12.488.194;0;0;526;Pre-mRNA-splicing factor SLU7;Grosmannia clavigera;Ophiostoma piceae;K12819;"SLU7; pre-mRNA-processing factor SLU7";pre-mrna-splicing factor slu7;1;F:binding;-;;;N;;;roughly area acquired from O. ulmi
OphioH327gp3312;II;+;5.550.707;5.551.965;1.259;444;12.488.639;12.489.897;1;86;390;Mitochondrial carrier protein rim2;Grosmannia clavigera;Ophiostoma piceae;K15116;"SLC25A33_36, RIM2; solute carrier family 25, member 33/36";mitochondrial carrier protein rim2;2;"P:transmembrane transport; C:integral to membrane";-;;;N;;;roughly area acquired from O. ulmi
OphioH327gp3313;II;+;5.553.078;5.553.478;401;1.112;12.491.010;12.491.410;1;50;116;Putative uncharacterized protein;Grosmannia clavigera;Ophiostoma piceae;;;hypothetical protein CMQ_5266;0;-;;;;N;;;roughly area acquired from O. ulmi
OphioH327gp3314;II;-;5.554.071;5.555.099;1.029;592;12.492.003;12.493.031;0;0;342;Pre-mRNA-splicing factor cwc24;Grosmannia clavigera;Ophiostoma piceae;K13127;"RNF113A, CWC24; RING finger protein 113A";pre-mrna splicing factor cwc24;2;"F:metal ion binding; P:mycelium development";-;;;N;;;roughly area acquired from O. ulmi
OphioH327gp3315;II;+;5.557.568;5.563.146;5.579;2.468;12.495.500;12.501.078;2;167;1.803;Anucleate primary sterigmata protein A;Grosmannia clavigera;Ophiostoma piceae;;;anucleate primary sterigmata protein a;5;"P:cortical protein anchoring; C:cell cortex; F:phospholipid binding; F:molecular_function; P:biological_process";;;;N;;;roughly area acquired from O. ulmi
OphioH327gp3316;II;-;5.564.299;5.565.319;1.021;1.152;12.502.231;12.503.251;2;538;160;60S ribosomal protein L21-B;Grosmannia clavigera;Ophiostoma piceae;K02889;"RP-L21e, RPL21; large subunit ribosomal protein L21e";60s ribosomal protein l21;3;"C:ribosome; F:structural constituent of ribosome; P:translation";-;;;N;;;roughly area acquired from O. ulmi
OphioH327gp3317;II;+;5.565.920;5.566.783;864;600;12.503.852;12.504.715;2;291;190;40S ribosomal protein S9 (S7);Trichophyton tonsurans;Ophiostoma piceae;K02997;"RP-S9e, RPS9; small subunit ribosomal protein S9e";40s ribosomal protein s9;4;"F:structural constituent of ribosome; C:small ribosomal subunit; P:translation; F:rRNA binding";-;;;N;;;roughly area acquired from O. ulmi
OphioH327gp3318;II;+;5.568.294;5.570.189;1.896;1.510;12.506.226;12.508.121;0;0;631;Putative uncharacterized protein;Grosmannia clavigera;Ophiostoma piceae;;;gat domain-containing protein;2;"P:intracellular protein transport; C:intracellular";;;;N;;;roughly area acquired from O. ulmi
OphioH327gp3319;II;+;5.573.929;5.575.965;2.037;3.739;12.511.861;12.513.897;2;129;635;Putative uncharacterized protein;Grosmannia clavigera;Ophiostoma piceae;;;hypothetical protein CMQ_5132;2;"F:molecular_function; C:cellular_component";;;;N;;;roughly area acquired from O. ulmi
OphioH327gp3320;II;-;5.576.753;5.579.330;2.578;787;12.514.685;12.517.262;1;79;832;Rab guanine nucleotide exchange factor sec2 (GDP-GTP exchange factor sec2);Togninia minima;Ophiostoma piceae;;;gdp gtp exchange factor;2;"F:zinc ion binding; C:intracellular";;;;N;;;roughly area acquired from O. ulmi
OphioH327gp3321;II;-;5.581.558;5.583.432;1.875;2.227;12.519.490;12.521.364;0;0;624;Siderochrome-iron transporter MirB;Metarhizium anisopliae;Ophiostoma piceae;;;siderochrome-iron transporter;2;"P:transmembrane transport; C:integral to membrane";-;;;N;;;roughly area acquired from O. ulmi
OphioH327gp3322;II;-;5.589.019;5.589.885;867;5.586;12.526.951;12.527.817;0;0;288;Uncharacterized oxidoreductase ymfI;Penicillium rubens;Ophiostoma piceae;;;Pc12g10740;4;"F:ATP binding; F:protein kinase activity; P:protein phosphorylation; F:transferase activity, transferring phosphorus-containing groups";;;;N;;;roughly area acquired from O. ulmi
OphioH327gp3323;II;+;5.593.230;5.594.131;902;3.344;12.531.162;12.532.063;1;62;279;Putative uncharacterized protein;Neurospora crassa;Ophiostoma piceae;;;hypothetical protein NCU06983;0;-;;;;Y;;;roughly area acquired from O. ulmi
OphioH327gp3324;II;+;5.597.517;5.598.350;834;3.385;12.535.449;12.536.282;1;105;242;Alpha N-terminal protein methyltransferase 1;Grosmannia clavigera;Ophiostoma piceae;K16219;"METTL11, NTM1; protein N-terminal methyltransferase [EC:2.1.1.244]";duf858 domain containing protein;1;F:transferase activity;-;;;N;;;roughly area acquired from O. ulmi
OphioH327gp3325;II;+;5.600.585;5.601.290;706;2.234;12.538.517;12.539.222;1;76;209;Probable gluconokinase;Fusarium verticillioides;Ophiostoma piceae;K00851;"E2.7.1.12, gntK, idnK; gluconokinase [EC:2.7.1.12]";carbohydrate kinase;5;"F:kinase activity; F:ATP binding; P:phosphorylation; F:shikimate kinase activity; P:carbohydrate metabolic process";;;;N;;;roughly area acquired from O. ulmi
OphioH327gp3326;II;-;5.601.480;5.603.154;1.675;189;12.539.412;12.541.086;1;55;539;Putative uncharacterized protein;Gaeumannomyces graminis;Ophiostoma piceae;;;hypothetical protein GGTG_10832;0;-;;;;N;;;roughly area acquired from O. ulmi
OphioH327gp3327;II;+;5.605.094;5.606.110;1.017;1.939;12.543.026;12.544.042;0;0;338;Xylosidase/arabinosidase (Beta-xylosidase);Togninia minima;Ophiostoma piceae;K15921;"xynD; arabinoxylan arabinofuranohydrolase [EC:3.2.1.55]";xylosidase arabinosidase;2;"P:carbohydrate metabolic process; F:xylan 1,4-beta-xylosidase activity";EC:3.2.1.37;GH43 ;;N;;;roughly area acquired from O. ulmi
OphioH327gp3328;II;-;5.606.220;5.607.357;1.138;109;12.544.152;12.545.289;4;223;304;4,5-DOPA dioxygenase extradiol-like protein;Scedosporium apiospermum;Ophiostoma piceae;;;aromatic ring-opening dioxygenase;7;"P:cellular aromatic compound metabolic process; P:oxidation-reduction process; F:oxidoreductase activity; F:ferrous iron binding; F:oxidoreductase activity, acting on single donors with incorporation of molecular oxygen; F:zinc ion binding; F:oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen";;;;N;;;roughly area acquired from O. ulmi
OphioH327gp3329;II;-;5.607.654;5.608.928;1.275;296;12.545.586;12.546.860;0;0;424;Putative uncharacterized protein;Colletotrichum sublineola;Ophiostoma piceae;;;pigment biosynthesis protein ayg1;0;-;;;;N;;;roughly area acquired from O. ulmi
OphioH327gp3330;II;-;5.608.958;5.609.301;344;29;12.546.890;12.547.233;1;62;93;Putative uncharacterized protein; ;Ophiostoma piceae;;;---NA---;0;-;;;;N;;;roughly area acquired from O. ulmi
OphioH327gp3331;II;-;5.611.300;5.611.889;590;1.998;12.549.232;12.549.821;1;56;177;Glucosamine 6-phosphate acetyltransferase;Grosmannia clavigera;Ophiostoma piceae;K00621;"E2.3.1.4, GNA1; glucosamine-phosphate N-acetyltransferase [EC:2.3.1.4]";glucosamine 6-phosphate n-acetyltransferase;1;F:N-acetyltransferase activity;-;;;N;;;roughly area acquired from O. ulmi
OphioH327gp3332;II;+;5.613.122;5.617.033;3.912;1.232;12.551.054;12.554.965;0;0;1.303;Sn1-specific diacylglycerol lipase beta (DGL-beta);Colletotrichum gloeosporioides;Ophiostoma piceae;;;lipase;4;"P:lipid metabolic process; F:hydrolase activity; F:triglyceride lipase activity; C:cellular_component";;;;N;;;roughly area acquired from O. ulmi
OphioH327gp3333;II;-;5.617.674;5.618.687;1.014;640;12.555.606;12.556.619;1;84;309;Aldo-keto reductase;Grosmannia clavigera;Ophiostoma piceae;K00100;"E1.1.1.-; genes in multiple pathways";d-galacturonic acid reductase;2;"P:oxidation-reduction process; F:oxidoreductase activity";-;;;N;;;roughly area acquired from O. ulmi
OphioH327gp3334;II;-;5.619.768;5.621.276;1.509;1.080;12.557.700;12.559.208;4;318;396;ER-golgi SNARE complex subunit;Grosmannia clavigera;Ophiostoma piceae;K08490;"STX5; syntaxin 5";syntaxin 5;2;"C:membrane; P:vesicle-mediated transport";-;;;N;;;roughly area acquired from O. ulmi
OphioH327gp3335;II;-;5.622.352;5.629.401;7.050;1.075;12.560.284;12.567.333;1;75;2.324;Putative uncharacterized protein;Sordaria macrospora;Ophiostoma piceae;;;hypothetical protein CMQ_5348;5;"F:molecular_function; P:biological_process; C:cellular_component; F:transcription coactivator activity; C:nucleus";;;;N;;;roughly area acquired from O. ulmi
OphioH327gp3336;II;-;5.631.110;5.634.292;3.183;1.708;12.569.042;12.572.224;1;78;1.034;Putative uncharacterized protein;Grosmannia clavigera;Ophiostoma piceae;;;hypothetical protein CMQ_5133;0;-;;;;N;;;
OphioH327gp3337;II;-;5.636.070;5.636.808;739;1.777;12.574.002;12.574.740;1;73;221;Putative uncharacterized protein;Grosmannia clavigera;Ophiostoma piceae;;;coiled-coil domain-containing protein;0;-;;;;N;;;
OphioH327gp3338;II;+;5.637.197;5.638.411;1.215;388;12.575.129;12.576.343;0;0;404;Putative uncharacterized protein;Colletotrichum gloeosporioides;Ophiostoma piceae;;;glutathione-dependent formaldehyde-activating enzyme;2;"F:carbon-sulfur lyase activity; P:metabolic process";;;;Y;;;
OphioH327gp3339;II;-;5.639.147;5.642.340;3.194;735;12.577.079;12.580.272;2;134;1.019;tRNA-specific adenosine deaminase;Grosmannia clavigera;Ophiostoma piceae;K15441;"TAD2, ADAT2; tRNA-specific adenosine deaminase 2 [EC:3.5.4.-]";trna-specific adenosine deaminase;1;P:mycelium development;-;;;N;;;
OphioH327gp3340;II;-;5.643.736;5.646.105;2.370;1.395;12.581.668;12.584.037;0;0;789;Putative uncharacterized protein;Grosmannia clavigera;Ophiostoma piceae;;;hypothetical protein CMQ_5098;2;"P:transcription from RNA polymerase II promoter; P:regulation of transcription, DNA-dependent";-;;;N;;;
OphioH327gp3341;II;+;5.648.431;5.649.568;1.138;2.325;12.586.363;12.587.500;1;148;329;Intradiol ring-cleavage dioxygenase;Grosmannia clavigera;Ophiostoma piceae;;;hydroxyquinol -dioxygenase;4;"F:catechol 1,2-dioxygenase activity; F:ferric iron binding; P:catechol-containing compound metabolic process; P:oxidation-reduction process";EC:1.13.11.1;;;N;;;
OphioH327gp3342;II;-;5.649.651;5.651.384;1.734;82;12.587.583;12.589.316;0;0;577;tRNA (uracil-O(2)-)-methyltransferase;Grosmannia clavigera;Ophiostoma piceae;K15447;"TRM44, METTL19; tRNA (uracil-O(2)-)-methyltransferase [EC:2.1.1.-]";duf1613 domain containing protein;5;"F:methyltransferase activity; P:methylation; C:cytoplasm; F:transferase activity; P:tRNA processing";;;;N;;;
OphioH327gp3343;II;-;5.651.911;5.653.012;1.102;526;12.589.843;12.590.944;2;130;323;Putative uncharacterized protein;Cladophialophora carrionii;Sporothrix schenckii;;;hypothetical protein TRIVIDRAFT_154357;0;-;;;;N;;;
OphioH327gp3344;II;+;5.653.604;5.654.881;1.278;591;12.591.536;12.592.813;0;0;425;N-acyl-phosphatidylethanolamine-hydrolyzing phospholipase D;Bipolaris sorokiniana;Ophiostoma piceae;K13985;"NAPEPLD; N-acyl-phosphatidylethanolamine-hydrolyzing phospholipase D [EC:3.1.4.54]";n-acyl-phosphatidylethanolamine-hydrolyzing phospholipase d;5;"F:NAPE-specific phospholipase D activity; F:zinc ion binding; F:nucleic acid binding; F:exonuclease activity; C:intracellular";;;;N;;;
OphioH327gp3345;II;-;5.655.078;5.655.589;512;196;12.593.010;12.593.521;1;155;118;Putative uncharacterized protein; ;Sporothrix schenckii;;;---NA---;0;-;;;;Y;;;
OphioH327gp3346;II;+;5.657.576;5.661.241;3.666;1.986;12.595.508;12.599.173;3;1.938;575;Serine/threonine-protein kinase;Colletotrichum gloeosporioides;Sporothrix schenckii;K08832;"SRPK3, STK23; serine/threonine-protein kinase SRPK3 [EC:2.7.11.1]";cmgc srpk protein kinase;3;"P:protein phosphorylation; F:ATP binding; F:protein serine/threonine kinase activity";EC:2.7.11.0;;;N;Y;;
OphioH327gp3347;II;-;5.661.878;5.663.326;1.449;636;12.599.810;12.601.258;1;60;462;Transcription factor IWS1;Grosmannia clavigera;Ophiostoma piceae;;;transcription factor iws1;5;"F:translation elongation factor activity; P:transcription, DNA-dependent; F:DNA binding; C:nucleus; P:translational elongation";-;;;N;;;
OphioH327gp3348;II;+;5.664.110;5.665.855;1.746;783;12.602.042;12.603.787;1;78;555;Nucleus export protein brr6;Grosmannia clavigera;Ophiostoma piceae;;;nuclear envelope protein;3;"P:nuclear export; P:mycelium development; P:macromolecule localization";-;;;N;;;
